,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,FTR,B365D,B365A,Score,Round,Home_Id,Away_Id
2715,26/05/2019,Corinthians,Sao Paulo,1.0,0.0,H,2.45,2.83,3.71,0.5,0.0,16,2
2716,26/05/2019,Cruzeiro,Chapecoense-SC,1.0,2.0,A,1.4,4.37,10.03,-0.5,0.0,14,17
2717,26/05/2019,Fortaleza,Vasco,1.0,1.0,D,1.89,3.48,4.58,0.0,0.0,8,11
2718,28/05/2019,Avai,Ceara,1.0,2.0,A,2.64,2.89,3.27,-0.5,0.0,15,4
2719,28/05/2019,CSA,Goias,1.0,0.0,H,2.84,2.9,3.0,0.5,0.0,18,9
2720,01/06/2019,Flamengo RJ,Fortaleza,2.0,0.0,H,1.42,4.66,8.05,1.0,0.0,12,8
2721,01/06/2019,Bahia,Gremio,1.0,0.0,H,2.48,2.98,3.41,0.5,0.0,3,6
2722,02/06/2019,Botafogo RJ,Vasco,1.0,0.0,H,2.35,3.19,3.42,0.5,0.0,13,11
2723,02/06/2019,Athletico-PR,Fluminense,3.0,0.0,H,1.66,3.88,5.67,1.5,0.0,0,19
2724,02/06/2019,Ceara,Santos,0.0,1.0,A,2.84,3.21,2.73,-0.5,0.0,4,1
2725,02/06/2019,Sao Paulo,Cruzeiro,1.0,1.0,D,2.37,2.98,3.65,0.0,0.0,2,14
2726,02/06/2019,Atletico-MG,CSA,4.0,0.0,H,1.41,4.64,8.45,2.0,0.0,5,18
2727,02/06/2019,Chapecoense-SC,Palmeiras,1.0,2.0,A,6.2,3.54,1.68,-0.5,0.0,17,10
2728,02/06/2019,Internacional,Avai,2.0,0.0,H,1.44,4.3,8.84,1.0,0.0,7,15
2729,08/06/2019,Vasco,Internacional,2.0,1.0,H,3.12,3.14,2.53,0.5,0.0,11,7
2730,08/06/2019,Palmeiras,Athletico-PR,1.0,0.0,H,1.58,3.75,7.14,0.5,0.0,10,0
2731,08/06/2019,Cruzeiro,Corinthians,0.0,0.0,D,1.91,3.26,4.93,0.0,0.0,14,16
2732,08/06/2019,Gremio,Fortaleza,1.0,0.0,H,1.48,4.21,7.99,0.5,0.0,6,8
2733,08/06/2019,Ceara,Bahia,0.0,0.0,D,2.65,2.96,3.16,0.0,0.0,4,3
2734,09/06/2019,Avai,Sao Paulo,0.0,0.0,D,3.1,2.91,2.75,0.0,0.0,15,2
2735,09/06/2019,CSA,Botafogo RJ,1.0,2.0,A,3.11,2.99,2.67,-0.5,0.0,18,13
2736,09/06/2019,Fluminense,Flamengo RJ,0.0,0.0,D,5.0,3.67,1.78,0.0,0.0,19,12
2737,09/06/2019,Santos,Atletico-MG,3.0,1.0,H,1.75,3.81,4.98,1.0,0.0,1,5
2738,11/06/2019,Goias,Chapecoense-SC,3.0,1.0,H,1.87,3.31,5.02,1.0,0.0,9,17
2739,12/06/2019,Botafogo RJ,Gremio,0.0,1.0,A,3.21,3.08,2.51,-0.5,0.0,13,6
2740,13/06/2019,Fortaleza,Cruzeiro,2.0,1.0,H,3.35,3.1,2.42,0.5,0.0,8,14
2741,13/06/2019,CSA,Flamengo RJ,0.0,2.0,A,13.92,5.83,1.25,-1.0,0.0,18,12
2742,13/06/2019,Internacional,Bahia,3.0,1.0,H,1.74,3.5,5.65,1.0,0.0,7,3
2743,13/06/2019,Santos,Corinthians,1.0,0.0,H,1.72,3.5,5.9,0.5,0.0,1,16
2744,13/06/2019,Vasco,Ceara,1.0,0.0,H,2.2,3.21,3.71,0.5,0.0,11,4
2745,14/06/2019,Atletico-MG,Sao Paulo,1.0,1.0,D,1.97,3.31,4.49,0.0,0.0,5,2
2746,14/06/2019,Chapecoense-SC,Fluminense,1.0,1.0,D,2.77,3.07,2.87,0.0,0.0,17,19
2747,14/06/2019,Goias,Athletico-PR,2.0,1.0,H,2.96,3.15,2.63,0.5,0.0,9,0
2748,14/06/2019,Palmeiras,Avai,2.0,0.0,H,1.26,5.33,16.58,1.0,0.0,10,15
2749,13/07/2019,Fortaleza,Avai,2.0,0.0,H,2.03,3.07,4.54,1.0,0.0,8,15
2750,13/07/2019,Gremio,Vasco,2.0,1.0,H,1.57,3.92,6.44,0.5,0.0,6,11
2751,13/07/2019,Bahia,Santos,0.0,1.0,A,2.77,3.13,2.79,-0.5,0.0,3,1
2752,13/07/2019,Sao Paulo,Palmeiras,1.0,1.0,D,3.81,2.9,2.31,0.0,0.0,2,10
2753,14/07/2019,Flamengo RJ,Goias,6.0,1.0,H,1.24,6.16,12.49,2.5,0.0,12,9
2754,14/07/2019,Athletico-PR,Internacional,1.0,0.0,H,1.63,3.9,5.94,0.5,0.0,0,7
2755,14/07/2019,Corinthians,CSA,1.0,0.0,H,1.37,4.36,12.39,0.5,0.0,16,18
2756,14/07/2019,Cruzeiro,Botafogo RJ,0.0,0.0,D,1.68,3.69,5.87,0.0,0.0,14,13
2757,14/07/2019,Chapecoense-SC,Atletico-MG,1.0,2.0,A,2.51,3.16,3.13,-0.5,0.0,17,5
2758,16/07/2019,Fluminense,Ceara,1.0,1.0,D,1.67,3.54,6.34,0.0,0.0,19,4
2759,20/07/2019,Vasco,Fluminense,2.0,1.0,H,2.43,3.21,3.21,0.5,0.0,11,19
2760,20/07/2019,Bahia,Cruzeiro,0.0,0.0,D,1.67,3.72,5.92,0.0,0.0,3,14
2761,20/07/2019,Ceara,Palmeiras,2.0,0.0,H,5.15,3.36,1.84,1.0,0.0,4,10
2762,20/07/2019,CSA,Athletico-PR,0.0,4.0,A,3.53,3.38,2.2,-2.0,0.0,18,0
2763,20/07/2019,Internacional,Gremio,1.0,1.0,D,2.29,2.92,3.92,0.0,0.0,7,6
2764,21/07/2019,Botafogo RJ,Santos,0.0,1.0,A,3.61,3.13,2.28,-0.5,0.0,13,1
2765,21/07/2019,Atletico-MG,Fortaleza,2.0,2.0,D,1.51,4.29,6.88,0.0,0.0,5,8
2766,21/07/2019,Corinthians,Flamengo RJ,1.0,1.0,D,3.1,2.92,2.71,0.0,0.0,16,12
2767,21/07/2019,Avai,Goias,0.0,0.0,D,2.02,3.26,4.3,0.0,0.0,15,9
2768,23/07/2019,Sao Paulo,Chapecoense-SC,4.0,0.0,H,1.53,3.87,7.92,2.0,0.0,2,17
2769,27/07/2019,Palmeiras,Vasco,1.0,1.0,D,1.47,4.05,8.75,0.0,0.0,10,11
2770,27/07/2019,Cruzeiro,Athletico-PR,0.0,2.0,A,3.8,3.18,2.18,-1.0,0.0,14,0
